payment_id,order_id,payment_date,payment_method,payment_amount
500000,100000,2024-03-12,Card,46.84
500001,100000,2024-03-07,ACH,44.12
500002,100001,2025-08-03,Card,29.48
500003,100001,2025-07-24,Card,31.56
500004,100002,2025-04-24,Card,252.09
500005,100003,2024-11-16,ACH,70.88
500006,100004,2024-11-12,Insurance,48.82
500007,100004,2024-11-12,Card,43.41
500008,100005,2025-09-24,Card,72.85
500009,100006,2024-03-08,ACH,54.98
500010,100007,2025-05-29,Card,90.17
500011,100009,2024-03-12,Insurance,158.95
500012,100011,2025-12-18,Card,45.35
500013,100013,2025-07-12,ACH,135.54
500014,100014,2025-06-14,Card,82.0
500015,100015,2025-07-30,Insurance,77.1
500016,100016,2025-01-10,Card,215.84
500017,100018,2025-09-06,Insurance,135.58
500018,100020,2025-01-06,Card,65.28
500019,100021,2024-09-29,Insurance,12.74
500020,100021,2024-09-28,Insurance,16.4
500021,100023,2025-11-13,Card,218.26
500022,100024,2025-07-30,Insurance,21.48
500023,100024,2025-07-29,ACH,20.44
500024,100025,2025-05-01,Card,43.5
500025,100027,2025-08-26,ACH,38.92
500026,100028,2025-02-03,Card,50.1
500027,100029,2024-11-25,Insurance,48.56
500028,100030,2024-11-29,ACH,31.42
500029,100033,2025-02-14,Card,261.94
500030,100034,2025-10-11,Card,123.49
500031,100038,2024-07-27,ACH,45.23
500032,100039,2025-04-09,Card,81.54
500033,100040,2024-05-04,Card,125.16
500034,100041,2025-07-12,Card,91.79
500035,100042,2025-05-27,Card,83.29
500036,100043,2024-09-17,Card,24.45
500037,100043,2024-09-17,Card,35.96
500038,100045,2025-12-12,ACH,118.22
500039,100046,2024-11-26,Card,118.97
500040,100048,2025-05-15,Card,77.13
500041,100049,2025-07-22,Insurance,89.82
500042,100050,2025-07-15,Card,69.99
500043,100051,2024-05-23,Insurance,87.95
500044,100052,2024-09-25,ACH,161.31
500045,100054,2025-01-03,Card,135.31
500046,100054,2024-12-29,Card,109.19
500047,100055,2024-02-06,Insurance,249.24
500048,100056,2025-02-08,Card,93.43
500049,100057,2024-04-25,Insurance,146.63
500050,100058,2025-06-28,Card,125.72
500051,100059,2025-05-18,Insurance,123.94
500052,100060,2025-11-07,Card,98.25
500053,100061,2025-07-01,Card,370.81
500054,100062,2024-09-27,ACH,28.25
500055,100062,2024-09-27,Card,31.47
500056,100063,2025-12-11,Card,77.19
500057,100064,2024-11-02,Insurance,114.03
500058,100065,2024-09-08,Card,84.34
