order_id,order_date,ingestion_date,channel,region,product_line,status,gross_amount
100000,2024-03-06,2024-03-06,Partner,South,SeniorCare,Completed,90.96
100001,2025-07-19,2025-07-19,Web,South,SeniorCare,Completed,61.04
100002,2025-04-23,2025-04-23,Web,South,HomeCare,Completed,252.09
100003,2024-11-16,2024-11-16,Web,South,HomeCare,Completed,70.88
100004,2024-11-12,2024-11-12,Web,Midwest,HomeCare,Completed,92.23
100005,2025-09-19,2025-09-26,Mobile,Midwest,Hospice,Completed,72.85
100006,2024-03-03,2024-03-03,Web,South,SeniorCare,Completed,54.98
100007,2025-05-24,2025-05-24,Mobile,South,HomeCare,Completed,90.17
100008,2024-05-27,2024-05-27,Mobile,Northeast,SeniorCare,Cancelled,102.52
100009,2024-03-09,2024-03-09,Web,Northeast,HomeCare,Completed,158.95
100010,2025-01-19,2025-01-19,Web,Northeast,Supplies,Cancelled,45.73
100011,2025-12-14,2025-12-14,Mobile,Midwest,Supplies,Completed,45.35
100012,2025-06-21,2025-06-21,Partner,South,HomeCare,Returned,178.1
100013,2025-07-10,2025-07-10,Web,Northeast,Supplies,Completed,135.54
100014,2025-06-08,2025-06-17,Partner,Northeast,SeniorCare,Completed,82.0
100015,2025-07-28,2025-07-28,Mobile,South,Supplies,Completed,77.1
100016,2025-01-10,2025-01-10,Mobile,West,HomeCare,Completed,215.84
100017,2024-04-03,2024-04-03,Web,Northeast,Supplies,Completed,229.69
100018,2025-09-05,2025-09-05,Mobile,West,Hospice,Completed,135.58
100019,2024-11-25,2024-11-25,Mobile,Northeast,HomeCare,Completed,136.51
100020,2024-12-31,2024-12-31,Web,South,Supplies,Completed,65.28
100021,2024-09-28,2024-09-28,Partner,West,Supplies,Completed,29.14
100022,2024-05-13,2024-05-13,Partner,West,HomeCare,Returned,111.39
100023,2025-11-08,2025-11-08,Web,West,Hospice,Completed,218.26
100024,2025-07-25,2025-07-25,Mobile,West,Supplies,Completed,41.92
100025,2025-04-15,2025-04-15,Mobile,West,Hospice,Completed,43.5
100026,2024-10-21,2024-10-21,Mobile,Northeast,Hospice,Completed,147.75
100027,2025-08-24,2025-08-24,Mobile,Midwest,HomeCare,Completed,38.92
100028,2025-02-02,2025-02-02,Web,South,Hospice,Completed,50.1
100029,2024-11-20,2024-11-20,Web,Northeast,Hospice,Completed,48.56
100030,2024-11-25,2024-11-25,Web,Northeast,SeniorCare,Completed,31.42
100031,2024-06-15,2024-06-19,Partner,South,Hospice,Cancelled,186.57
100032,2024-03-08,2024-03-08,Web,South,SeniorCare,Cancelled,91.65
100033,2025-02-09,2025-02-09,Partner,West,HomeCare,Completed,261.94
100034,2025-10-11,2025-10-11,Web,South,SeniorCare,Completed,123.49
100035,2024-02-16,2024-02-16,Web,Midwest,HomeCare,Cancelled,262.56
100036,2025-09-19,2025-09-19,Partner,Northeast,SeniorCare,Completed,61.98
100037,2025-08-27,2025-09-04,Mobile,South,Supplies,Cancelled,73.22
100038,2024-07-21,2024-07-21,Web,Midwest,SeniorCare,Completed,45.23
100039,2025-04-06,2025-04-06,Web,Northeast,HomeCare,Completed,81.54
100040,2024-04-30,2024-04-30,Web,West,Supplies,Completed,125.16
100041,2025-07-08,2025-07-08,Web,South,HomeCare,Completed,91.79
100042,2025-05-27,2025-05-27,Web,South,HomeCare,Completed,83.29
100043,2024-09-16,2024-09-23,Mobile,South,Supplies,Completed,60.41
100044,2024-02-19,2024-02-19,Web,Northeast,HomeCare,Completed,100.64
100045,2025-12-10,2025-12-10,Web,South,Hospice,Completed,118.22
100046,2024-11-21,2024-11-21,Web,South,Supplies,Completed,118.97
100047,2025-10-14,2025-10-14,Web,Northeast,HomeCare,Completed,65.32
100048,2025-05-10,2025-05-10,Partner,West,SeniorCare,Completed,77.13
100049,2025-07-22,2025-07-22,Web,South,SeniorCare,Completed,89.82
100050,2025-07-09,2025-07-09,Web,Northeast,Hospice,Completed,69.99
100051,2024-05-22,2024-05-22,Mobile,Northeast,Hospice,Completed,87.95
100052,2024-09-23,2024-09-23,Partner,Midwest,Hospice,Completed,161.31
100053,2024-12-07,2024-12-11,Mobile,West,Supplies,Cancelled,40.46
100054,2024-12-29,2024-12-29,Mobile,South,Supplies,Completed,244.5
100055,2024-02-02,2024-02-02,Partner,Midwest,Hospice,Completed,249.24
100056,2025-02-03,2025-02-03,Mobile,Midwest,SeniorCare,Completed,93.43
100057,2024-04-22,2024-04-22,Partner,Midwest,Hospice,Completed,146.63
100058,2025-06-27,2025-06-27,Web,None,SeniorCare,Completed,125.72
100059,2025-05-14,2025-05-18,Mobile,Northeast,HomeCare,Completed,123.94
100060,2025-11-05,2025-11-05,Partner,Northeast,HomeCare,Completed,98.25
100061,2025-06-28,2025-06-28,Partner,Northeast,HomeCare,Completed,370.81
100062,2024-09-25,2024-09-25,Web,South,SeniorCare,Completed,59.72
100063,2025-12-08,2025-12-08,Mobile,West,HomeCare,Completed,77.19
100064,2024-10-27,2024-10-27,Web,West,Hospice,Completed,114.03
